employment_income,deducts,amt0,amt1,amt2,amt3,amt4,amt5,amt6,amt7
200000.0,73000.0,2224.0,2986.0,3288.0,3591.0,3894.0,4196.0,4499.0,4801.0
200000.0,73500.0,2263.0,3020.0,3322.0,3625.0,3928.0,4230.0,4533.0,4835.0
200000.0,74000.0,2302.0,3054.0,3356.0,3659.0,3962.0,4264.0,4567.0,4869.0
200000.0,74500.0,2342.0,3088.0,3390.0,3693.0,3996.0,4298.0,4601.0,4903.0
200000.0,75000.0,2381.0,3122.0,3424.0,3727.0,4030.0,4332.0,4635.0,4937.0
200000.0,75500.0,2420.0,3156.0,3458.0,3761.0,4064.0,4366.0,4669.0,4971.0
200000.0,76000.0,2459.0,3190.0,3492.0,3795.0,4098.0,4400.0,4703.0,5005.0
200000.0,76500.0,2499.0,3224.0,3526.0,3829.0,4132.0,4434.0,4737.0,5039.0
200000.0,77000.0,2538.0,3258.0,3560.0,3863.0,4166.0,4468.0,4771.0,5073.0
200000.0,77500.0,2577.0,3292.0,3594.0,3897.0,4200.0,4502.0,4805.0,5107.0
200000.0,78000.0,2616.0,3326.0,3628.0,3931.0,4234.0,4536.0,4839.0,5141.0
200000.0,78500.0,2656.0,3360.0,3662.0,3965.0,4268.0,4570.0,4873.0,5175.0
200000.0,79000.0,2695.0,3394.0,3696.0,3999.0,4302.0,4604.0,4907.0,5209.0
200000.0,79500.0,2734.0,3428.0,3730.0,4033.0,4336.0,4638.0,4941.0,5243.0
200000.0,80000.0,2773.0,3462.0,3764.0,4067.0,4370.0,4672.0,4975.0,5277.0
200000.0,80500.0,2813.0,3496.0,3798.0,4101.0,4404.0,4706.0,5009.0,5311.0
200000.0,81000.0,2852.0,3530.0,3832.0,4135.0,4438.0,4740.0,5043.0,5345.0
200000.0,81500.0,2891.0,3564.0,3866.0,4169.0,4472.0,4774.0,5077.0,5379.0
200000.0,82000.0,2930.0,3598.0,3900.0,4203.0,4506.0,4808.0,5111.0,5413.0
200000.0,82500.0,2970.0,3632.0,3934.0,4237.0,4540.0,4842.0,5145.0,5447.0
200000.0,83000.0,3009.0,3666.0,3968.0,4271.0,4574.0,4876.0,5179.0,5481.0
200000.0,83500.0,3048.0,3700.0,4002.0,4305.0,4608.0,4910.0,5213.0,5515.0
200000.0,84000.0,3087.0,3734.0,4036.0,4339.0,4642.0,4944.0,5247.0,5549.0
200000.0,84500.0,3127.0,3768.0,4070.0,4373.0,4676.0,4978.0,5281.0,5583.0
200000.0,85000.0,3166.0,3802.0,4104.0,4407.0,4710.0,5012.0,5315.0,5617.0
200000.0,85500.0,3205.0,3836.0,4138.0,4441.0,4744.0,5046.0,5349.0,5651.0
200000.0,86000.0,3244.0,3870.0,4172.0,4475.0,4778.0,5080.0,5383.0,5685.0
200000.0,86500.0,3284.0,3904.0,4206.0,4509.0,4812.0,5114.0,5417.0,5719.0
200000.0,87000.0,3323.0,3938.0,4240.0,4543.0,4846.0,5148.0,5451.0,5753.0
200000.0,87500.0,3362.0,3972.0,4274.0,4577.0,4880.0,5182.0,5485.0,5787.0
200000.0,88000.0,3401.0,4006.0,4308.0,4611.0,4914.0,5216.0,5519.0,5821.0
200000.0,88500.0,3441.0,4040.0,4342.0,4645.0,4948.0,5250.0,5553.0,5855.0
200000.0,89000.0,3480.0,4074.0,4376.0,4679.0,4982.0,5284.0,5587.0,5889.0
200000.0,89500.0,3519.0,4108.0,4410.0,4713.0,5016.0,5318.0,5621.0,5923.0
200000.0,90000.0,3558.0,4142.0,4444.0,4747.0,5050.0,5352.0,5655.0,5957.0
200000.0,90500.0,3598.0,4176.0,4478.0,4781.0,5084.0,5386.0,5689.0,5991.0
200000.0,91000.0,3637.0,4210.0,4512.0,4815.0,5118.0,5420.0,5723.0,6025.0
200000.0,91500.0,3676.0,4244.0,4546.0,4849.0,5152.0,5454.0,5757.0,6059.0
