employment_income,amt_minus_basic_0,amt_minus_basic_1,amt_minus_basic_2,amt_minus_basic_3,amt_minus_basic_4,amt_minus_basic_5,amt_minus_basic_6,amt_minus_basic_7
290000.0,-9914.098,-7377.592,-6860.091,-6343.591,-5826.09,-5309.59,-4792.089,-4275.589
292000.0,-10152.007,-7546.288,-7042.7744,-6540.26,-6036.746,-5534.2324,-5030.718,-4528.204
294000.0,-10388.917,-7714.9844,-7225.457,-6736.9297,-6247.4023,-5758.875,-5269.3477,-4780.8193
296000.0,-10625.827,-7883.6816,-7408.1406,-6933.5996,-6458.0586,-5983.5176,-5507.9766,-5033.4355
298000.0,-10862.737,-8052.378,-7590.823,-7130.2686,-6668.714,-6208.16,-5746.6055,-5285.051
300000.0,-11099.647,-8207.088,-7745.533,-7284.9785,-6823.424,-6361.87,-5901.3154,-5439.7607
302000.0,-11336.558,-8375.784,-7928.216,-7481.6484,-7034.08,-6586.5127,-6139.9443,-5692.376
304000.0,-11574.467,-8544.48,-8110.8994,-7677.3174,-7244.7363,-6811.1543,-6378.573,-5944.992
306000.0,-11811.377,-8713.178,-8293.582,-7873.9873,-7455.3926,-7035.797,-6617.202,-6197.6074
308000.0,-12048.287,-8880.874,-8476.266,-8070.657,-7666.048,-7260.4395,-6854.831,-6450.2227
310000.0,-12285.197,-9035.584,-8630.976,-8225.367,-7820.758,-7415.1494,-7009.541,-6604.9326
312000.0,-12522.107,-9204.28,-8813.658,-8422.036,-8031.414,-7639.792,-7248.17,-6857.548
314000.0,-12759.018,-9372.977,-8996.341,-8618.706,-8241.07,-7864.4346,-7486.799,-7110.164
316000.0,-12996.928,-9541.673,-9179.024,-8815.375,-8451.727,-8089.077,-7725.4287,-7361.7793
318000.0,-13233.838,-9710.37,-9361.707,-9012.045,-8662.382,-8313.72,-7964.0576,-7614.3945
320000.0,-13470.748,-9865.08,-9516.417,-9166.755,-8817.092,-8468.43,-8118.7676,-7769.1045
322000.0,-13707.658,-10033.776,-9698.101,-9363.424,-9027.748,-8692.072,-8357.396,-8021.7207
324000.0,-13944.566,-10202.473,-9880.783,-9560.094,-9238.404,-8916.715,-8596.025,-8274.336
326000.0,-14181.477,-10372.9795,-10063.466,-9756.764,-9449.061,-9141.357,-8834.654,-8526.951
328000.0,-14418.387,-10627.655,-10259.56,-9953.433,-9659.716,-9366.0,-9072.283,-8779.566
330000.0,-14656.297,-10864.565,-10496.47,-10128.373,-9814.426,-9520.71,-9226.993,-8934.276
332000.0,-14893.207,-11119.242,-10768.912,-10417.582,-10067.252,-9745.353,-9465.622,-9186.893
334000.0,-15130.117,-11373.918,-11040.355,-10707.791,-10374.229,-10041.665,-9708.102,-9438.508
336000.0,-15367.027,-11628.596,-11312.799,-10997.002,-10681.205,-10366.407,-10050.61,-9734.813
338000.0,-15603.9375,-11883.271,-11585.242,-11287.211,-10989.18,-10691.15,-10392.119,-10094.089
340000.0,-15840.848,-12120.182,-11822.15,-11524.121,-11226.09,-10928.061,-10630.029,-10331.998
342000.0,-16078.758,-12374.857,-12093.594,-11813.33,-11533.066,-11252.803,-10971.539,-10691.273
344000.0,-16315.668,-12629.535,-12366.037,-12103.539,-11840.043,-11577.545,-11314.047,-11051.549
346000.0,-16552.578,-12884.211,-12638.48,-12392.75,-12147.018,-11902.287,-11656.557,-11410.826
348000.0,-16789.486,-13137.889,-12910.924,-12682.959,-12454.994,-12227.029,-11999.064,-11771.102
350000.0,-17026.396,-13375.797,-13147.834,-12919.869,-12691.904,-12463.939,-12235.975,-12008.012
352000.0,-17263.307,-13630.475,-13419.275,-13209.078,-12998.881,-12788.682,-12578.484,-12367.287
354000.0,-17501.217,-13885.15,-13691.719,-13499.287,-13305.855,-13113.424,-12919.994,-12727.5625
356000.0,-17738.127,-14138.828,-13964.162,-13788.498,-13612.832,-13438.168,-13262.502,-13086.838
358000.0,-17975.037,-14393.504,-14235.605,-14078.707,-13920.809,-13762.91,-13605.012,-13447.113
360000.0,-18229.947,-14648.414,-14491.516,-14333.617,-14175.719,-14017.82,-13859.922,-13702.023
362000.0,-18500.857,-14937.09,-14796.959,-14656.826,-14516.693,-14376.5625,-14235.43,-14095.299
364000.0,-18771.768,-15225.768,-15102.4,-14980.035,-14857.67,-14734.305,-14611.939,-14489.574
366000.0,-19042.678,-15513.443,-15408.844,-15303.246,-15198.646,-15093.047,-14987.449,-14882.85
368000.0,-19313.588,-15802.119,-15714.287,-15626.455,-15539.623,-15451.789,-15363.957,-15276.125
370000.0,-19583.498,-16073.029,-15985.197,-15897.365,-15810.533,-15722.699,-15634.867,-15547.035
372000.0,-19854.408,-16361.707,-16291.641,-16221.574,-16151.508,-16080.441,-16010.377,-15940.311
374000.0,-20125.316,-16649.383,-16597.084,-16544.783,-16491.484,-16439.186,-16386.885,-16334.586
376000.0,-20396.227,-16938.059,-16903.525,-16867.994,-16832.46,-16797.928,-16762.395,-16727.861
378000.0,-20667.137,-17226.736,-17208.969,-17191.203,-17173.436,-17156.67,-17138.902,-17121.137
380000.0,-20938.047,-17497.646,-17479.879,-17462.113,-17444.346,-17427.58,-17409.812,-17392.047
382000.0,-21208.957,-17785.322,-17785.322,-17785.322,-17785.322,-17785.322,-17785.322,-17785.322
384000.0,-21479.867,-18056.232,-18056.232,-18056.232,-18056.232,-18056.232,-18056.232,-18056.232
386000.0,-21750.777,-18327.143,-18327.143,-18327.143,-18327.143,-18327.143,-18327.143,-18327.143
388000.0,-22021.688,-18598.053,-18598.053,-18598.053,-18598.053,-18598.053,-18598.053,-18598.053
390000.0,-22292.598,-18868.963,-18868.963,-18868.963,-18868.963,-18868.963,-18868.963,-18868.963
392000.0,-22563.508,-19139.873,-19139.873,-19139.873,-19139.873,-19139.873,-19139.873,-19139.873
394000.0,-22833.418,-19410.783,-19410.783,-19410.783,-19410.783,-19410.783,-19410.783,-19410.783
396000.0,-23104.328,-19681.691,-19681.691,-19681.691,-19681.691,-19681.691,-19681.691,-19681.691
398000.0,-23375.236,-19952.602,-19952.602,-19952.602,-19952.602,-19952.602,-19952.602,-19952.602
400000.0,-23646.146,-20223.512,-20223.512,-20223.512,-20223.512,-20223.512,-20223.512,-20223.512
402000.0,-23917.057,-20493.422,-20493.422,-20493.422,-20493.422,-20493.422,-20493.422,-20493.422
404000.0,-24187.967,-20764.332,-20764.332,-20764.332,-20764.332,-20764.332,-20764.332,-20764.332
406000.0,-24458.877,-21035.242,-21035.242,-21035.242,-21035.242,-21035.242,-21035.242,-21035.242
408000.0,-24729.787,-21306.152,-21306.152,-21306.152,-21306.152,-21306.152,-21306.152,-21306.152
410000.0,-25000.697,-21577.062,-21577.062,-21577.062,-21577.062,-21577.062,-21577.062,-21577.062
412000.0,-25271.607,-21847.973,-21847.973,-21847.973,-21847.973,-21847.973,-21847.973,-21847.973
414000.0,-25542.518,-22118.883,-22118.883,-22118.883,-22118.883,-22118.883,-22118.883,-22118.883
416000.0,-25812.428,-22389.793,-22389.793,-22389.793,-22389.793,-22389.793,-22389.793,-22389.793
418000.0,-26083.338,-22660.703,-22660.703,-22660.703,-22660.703,-22660.703,-22660.703,-22660.703
420000.0,-26354.248,-22931.611,-22931.611,-22931.611,-22931.611,-22931.611,-22931.611,-22931.611
422000.0,-26625.158,-23202.521,-23202.521,-23202.521,-23202.521,-23202.521,-23202.521,-23202.521
424000.0,-26896.066,-23472.432,-23472.432,-23472.432,-23472.432,-23472.432,-23472.432,-23472.432
426000.0,-27166.977,-23743.342,-23743.342,-23743.342,-23743.342,-23743.342,-23743.342,-23743.342
428000.0,-27437.887,-24014.252,-24014.252,-24014.252,-24014.252,-24014.252,-24014.252,-24014.252
430000.0,-27708.797,-24285.162,-24285.162,-24285.162,-24285.162,-24285.162,-24285.162,-24285.162
432000.0,-27979.707,-24556.072,-24556.072,-24556.072,-24556.072,-24556.072,-24556.072,-24556.072
434000.0,-28250.617,-24826.982,-24826.982,-24826.982,-24826.982,-24826.982,-24826.982,-24826.982
436000.0,-28521.527,-25097.893,-25097.893,-25097.893,-25097.893,-25097.893,-25097.893,-25097.893
438000.0,-28791.438,-25368.803,-25368.803,-25368.803,-25368.803,-25368.803,-25368.803,-25368.803
440000.0,-29062.348,-25639.713,-25639.713,-25639.713,-25639.713,-25639.713,-25639.713,-25639.713
442000.0,-29333.258,-25910.623,-25910.623,-25910.623,-25910.623,-25910.623,-25910.623,-25910.623
444000.0,-29604.168,-26181.533,-26181.533,-26181.533,-26181.533,-26181.533,-26181.533,-26181.533
